# CAMB transfer functions at z = 1000, converted to the CLASS
# convention (Newtonian gauge, unit primordial curvature, theta in 1/Mpc
# with d(delta)/dtau = -theta).
# cosmology: h=0.71, Omega_b=0.044, Omega_cdm=0.226, A_s=2.1e-09, n_s=0.965, k_pivot=0.05/Mpc
# k[1/Mpc]  delta_b  delta_cdm  theta_b[1/Mpc]  theta_cdm[1/Mpc]
8.150980575010180473e-04 -1.132713630795478821e-02 -1.134095992892980576e-02 5.324305311660282314e-05 5.338538539945147932e-05
8.999902056530117989e-04 -1.380443945527076721e-02 -1.382498349994421005e-02 6.486515485448762774e-05 6.507665239041671157e-05
9.937237482517957687e-04 -1.682220399379730225e-02 -1.685273461043834686e-02 7.901184289949014783e-05 7.932610606076195836e-05
1.097219646908342838e-03 -2.049769647419452667e-02 -2.054306119680404663e-02 9.622559446142986417e-05 9.669253631727769971e-05
1.211494556628167629e-03 -2.497329935431480408e-02 -2.504070848226547241e-02 1.171624317066743970e-04 1.178561724373139441e-04
1.337671186774969101e-03 -3.042175993323326111e-02 -3.052191622555255890e-02 1.426144590368494391e-04 1.436450693290680647e-04
1.476989127695560455e-03 -3.705242276191711426e-02 -3.720122203230857849e-02 1.735357363941147923e-04 1.750666269799694419e-04
1.630816725082695484e-03 -4.511861130595207214e-02 -4.533966258168220520e-02 2.110723144141957164e-04 2.133460075128823519e-04
1.800665515474975109e-03 -5.492644011974334717e-02 -5.525479093194007874e-02 2.565961913205683231e-04 2.599725848995149136e-04
1.988204196095466614e-03 -6.684499979019165039e-02 -6.733267754316329956e-02 3.117425658274441957e-04 3.167554386891424656e-04
2.195274690166115761e-03 -8.131814748048782349e-02 -8.204232156276702881e-02 3.784494183491915464e-04 3.858901909552514553e-04
2.423911588266491890e-03 -9.887808561325073242e-02 -9.995323419570922852e-02 4.589981399476528168e-04 4.700394056271761656e-04
2.676361007615923882e-03 -1.201602891087532043e-01 -1.217561811208724976e-01 5.560492863878607750e-04 5.724275251850485802e-04
