# CLASS v3 transfer functions at z = 1000, Newtonian gauge,
# normalised to unit primordial curvature (output_format='class').
# theta convention: d(delta)/dtau = -theta, theta in 1/Mpc (c=1).
# cosmology: h=0.71, Omega_b=0.044, Omega_cdm=0.226, A_s=2.1e-09, n_s=0.965, k_pivot=0.05/Mpc
# k[1/Mpc]  delta_b  delta_cdm  theta_b[1/Mpc]  theta_cdm[1/Mpc]
4.417690222018183510e-04 -1.077450900114254040e+00 -1.077452075232966822e+00 1.568207213410570896e-05 1.569434002264630598e-05
5.561542481933307979e-04 -1.079295144081870994e+00 -1.079298094980128742e+00 2.484067042855266604e-05 2.487147774884206338e-05
7.001567159278644734e-04 -1.082215034126102760e+00 -1.082222443789558897e+00 3.933533357742311865e-05 3.941268091153006254e-05
8.814450819199386210e-04 -1.086838043202916104e+00 -1.086856649618491044e+00 6.225571472924251195e-05 6.244991489344183314e-05
1.109673612730002193e-03 -1.093795176221917353e+00 -1.093842370010360776e+00 9.841759530233087092e-05 9.890582402867304434e-05
1.396996309863239409e-03 -1.105279418264303315e+00 -1.105398360847867911e+00 1.554244891608676357e-04 1.566501381922181255e-04
1.758714154669510686e-03 -1.123498181624353442e+00 -1.123797036881031275e+00 2.449611021562699627e-04 2.480348439613880838e-04
2.214089941395544665e-03 -1.152161312845604524e+00 -1.152910979786645251e+00 3.848138810378772196e-04 3.925135359531460545e-04
2.787374091220709820e-03 -1.197031536464968404e+00 -1.198909312878317479e+00 6.013431885774405067e-04 6.205984299904835234e-04
3.509096075614425055e-03 -1.266762311183824208e+00 -1.271456936971488760e+00 9.318144299208895717e-04 9.798424324038059862e-04
4.417690222018186112e-03 -1.373864040586580959e+00 -1.385568296987873982e+00 1.424310533842890062e-03 1.543618529459262314e-03
5.561542481933311015e-03 -1.535203405224994100e+00 -1.564253132867062357e+00 2.128839878202611318e-03 2.423266013841362827e-03
7.001567159278647770e-03 -1.770539156202337150e+00 -1.842132904382758563e+00 3.064240932999875468e-03 3.783250726164601695e-03
8.814450819199390330e-03 -2.095190810226156497e+00 -2.269673906481935344e+00 4.128848850150828274e-03 5.855603662627565688e-03
1.109673612727944680e-02 -2.498989167851321636e+00 -2.916747645753256624e+00 4.904729323760021430e-03 8.941964416424894729e-03
1.396996297688904085e-02 -2.899682048752847408e+00 -3.872109531779233560e+00 4.336912751262963356e-03 1.337593833099039869e-02
1.758705096444570029e-02 -3.068249227828113046e+00 -5.232493336308115417e+00 5.491944050803617512e-04 1.940003570547947642e-02
2.212859272072568648e-02 -2.592159836850981947e+00 -7.069916740947108202e+00 -7.952477853449742631e-03 2.691180871508588174e-02
2.747100405022169164e-02 -1.235255678943949942e+00 -9.253845193030109328e+00 -1.684221883067223841e-02 3.481783613479769862e-02
3.195658209821249790e-02 4.392023793822551203e-02 -1.101571030959912001e+01 -1.634179113675052891e-02 4.044642906925725867e-02
3.521302855128768949e-02 7.164674651251111692e-01 -1.223083537304328061e+01 -9.343594948617634302e-03 4.405490185034965228e-02
3.790140550590514329e-02 9.769798423840939661e-01 -1.319038091925256850e+01 1.977525062472989506e-04 4.683482772998085603e-02
4.030314412171467214e-02 9.463348028741089824e-01 -1.401546739093610583e+01 1.049906272632076566e-02 4.923416801955948080e-02
4.254392903857504016e-02 6.983550316509197220e-01 -1.476013764319101895e+01 2.039664730581077987e-02 5.144600761629096464e-02
4.469037670230553705e-02 2.908008329834695926e-01 -1.545323375629160445e+01 2.895342888716210053e-02 5.357031577382927873e-02
4.678247078137148102e-02 -2.229676830832238166e-01 -1.611226044221037768e+01 3.537171821256805682e-02 5.566469586029954703e-02
