# Power spectra at z = 1000 [Mpc^3] from CLASS transfer functions;
# last column is the direct CLASS P_m(k) for cross-checking.
# k[1/Mpc]  P_b  P_cdm  P_m  P_m_direct
1.245074271734981832e-03 2.951096575208437045e+01 2.951499233649740361e+01 2.951433613363668229e+01 2.951431415478383968e+01
1.274075777135470289e-03 2.757751242346728304e+01 2.758163509207077979e+01 2.758096322876420814e+01 2.758094341507806746e+01
1.303752814377382623e-03 2.577327014387458703e+01 2.577749120988772447e+01 2.577680330889048221e+01 2.577678554626459828e+01
1.334121118618686449e-03 2.408956339954286463e+01 2.409388529505130450e+01 2.409318095971407558e+01 2.409316514107156237e+01
1.365196791536262477e-03 2.251826975060993519e+01 2.252269498296452710e+01 2.252197380433526774e+01 2.252195982861813661e+01
1.396996309863226832e-03 2.105181477889845354e+01 2.105634592617287382e+01 2.105560748373266478e+01 2.105559525577032431e+01
1.429536534125113193e-03 1.968313806028988111e+01 1.968777778961926828e+01 1.968702164828860646e+01 1.968701107845277676e+01
1.462834717579545142e-03 1.840569363981186513e+01 1.841044475261312385e+01 1.840967045537635016e+01 1.840966146030746842e+01
1.496908515364144508e-03 1.721332203696567120e+01 1.721818738146221861e+01 1.721739446361781845e+01 1.721738696462508500e+01
1.531775993857516878e-03 1.610029931787212121e+01 1.610528182356281590e+01 1.610446980709884102e+01 1.610446373049926194e+01
1.567455640258284258e-03 1.506131489800021939e+01 1.506641765554493162e+01 1.506558603611115998e+01 1.506558131350099217e+01
1.603966372387245027e-03 1.409139014568150650e+01 1.409661633307535489e+01 1.409576459200670584e+01 1.409576115933827545e+01
1.641327548717850171e-03 1.318588064526983494e+01 1.319123353903620988e+01 1.319036114151864325e+01 1.319035893886556821e+01
1.679558978640324426e-03 1.234047379109711962e+01 1.234595680251280747e+01 1.234506319166814770e+01 1.234506216340061613e+01
1.718680932964864643e-03 1.155113671974844181e+01 1.155675339066177543e+01 1.155583798821668751e+01 1.155583808256613665e+01
1.758714154669494423e-03 1.081409354193389660e+01 1.081984749621792474e+01 1.081890971040302141e+01 1.081891087872960888e+01
1.799679869898263875e-03 1.012585062272398417e+01 1.013174565594135146e+01 1.013078486686085000e+01 1.013078706422332509e+01
1.841599799215632664e-03 9.483139800455710144e+00 9.489179845913858102e+00 9.488195411060990736e+00 9.488198595715747530e+00
1.884496169123000371e-03 8.882905672039310474e+00 8.889094793641621806e+00 8.888086049044469306e+00 8.888090182086958890e+00
1.928391723843493393e-03 8.322298653466139839e+00 8.328641052550343815e+00 8.327607311635622622e+00 8.327612356835311758e+00
1.973309737381250158e-03 7.798679813545660977e+00 7.805179902972661843e+00 7.804120444464212270e+00 7.804126368458422114e+00
2.019274025861608583e-03 7.309557087155496902e+00 7.316219408983579697e+00 7.315133490294684293e+00 7.315140261634057062e+00
2.066308960158730074e-03 6.852627674592385532e+00 6.859456950421586541e+00 6.858343799418156195e+00 6.858351389048893409e+00
2.114439478817360402e-03 6.425745393621888901e+00 6.432746532788626403e+00 6.431605346419275726e+00 6.431613727530733016e+00
2.163691101275574871e-03 6.026899870943050352e+00 6.034077975517347703e+00 6.032907918960254356e+00 6.032917066608064260e+00
2.214089941395522981e-03 5.654210219452119546e+00 5.661570566510084390e+00 5.660370776020640093e+00 5.660380666766821278e+00
2.265662721309344169e-03 5.305942847717028954e+00 5.313490966317957032e+00 5.312260536631375096e+00 5.312271149160406658e+00
2.318436785587595084e-03 4.980459648873764245e+00 4.988201293409264991e+00 4.986939282030888876e+00 4.986950596157096349e+00
2.372440115737703241e-03 4.676238303857238598e+00 4.684179428213639085e+00 4.682884859573105629e+00 4.682896856481298720e+00
2.427701345040132741e-03 4.391866584660365724e+00 4.400013425020529390e+00 4.398685276903381514e+00 4.398697939244121002e+00
2.484249773730129018e-03 4.126022078319500075e+00 4.134381110863127873e+00 4.133018321233783432e+00 4.133031632852316228e+00
2.542115384533090005e-03 3.877466819362678674e+00 3.886044781872472598e+00 3.884646245267147968e+00 3.884660190898544307e+00
2.601328858561805391e-03 3.645057530068463336e+00 3.653861467794289553e+00 3.652426027749026805e+00 3.652440593400555269e+00
2.661921591583988212e-03 3.427712238281260149e+00 3.436749485414527516e+00 3.435275937380006361e+00 3.435291109602072623e+00
2.723925710668726862e-03 3.224432574343024882e+00 3.233710792460909644e+00 3.232197877416866483e+00 3.232213643679657356e+00
2.787374091220681631e-03 3.034286320645584123e+00 3.043813521950894607e+00 3.042259922484118917e+00 3.042276271028532708e+00
2.852300374411058902e-03 2.856401420245672895e+00 2.866185969070446760e+00 2.864590308983157918e+00 2.864607228645654757e+00
2.918738985014607355e-03 2.689962998848373310e+00 2.700013600328372565e+00 2.698374446324621534e+00 2.698391926476454650e+00
2.986725149662088682e-03 2.534216803510423333e+00 2.544542575369125537e+00 2.542858425162164870e+00 2.542876455820062276e+00
3.056294915517901705e-03 2.388450546168812139e+00 2.399061035038086764e+00 2.397330314478562041e+00 2.397348885867039314e+00
3.127485169392768202e-03 2.252002804776907396e+00 2.262907973010422680e+00 2.261129038014210391e+00 2.261148140676644491e+00
3.200333657301606891e-03 2.124261294256481580e+00 2.135471539780621431e+00 2.133642672842094967e+00 2.133662297765352989e+00
3.274879004476970949e-03 2.004649591982400114e+00 2.016175849871522097e+00 2.014295243190622475e+00 2.014315381495569213e+00
3.351160735848656910e-03 1.892634697905499097e+00 1.904488419547626599e+00 1.902554178120630102e+00 1.902574821276166395e+00
3.429219297000346035e-03 1.787710846216965521e+00 1.799903997852887683e+00 1.797914139351631357e+00 1.797935278699037465e+00
3.509096075614388192e-03 1.689412261531794357e+00 1.701957400762714068e+00 1.699909842650363601e+00 1.699931469766866599e+00
3.590833423416098062e-03 1.597306235025738097e+00 1.610216560828443111e+00 1.608109111749881359e+00 1.608131218476493318e+00
3.674474678629203669e-03 1.510982834702133459e+00 1.524272099302293348e+00 1.522102472995271016e+00 1.522125050714852046e+00
3.760064188954340050e-03 1.430063978236865374e+00 1.443746631557576654e+00 1.441512422705991447e+00 1.441535462815794588e+00
3.847647335082793590e-03 1.354195486392159253e+00 1.368286697176990696e+00 1.365985377345859453e+00 1.366008871136711100e+00
3.937270554757941500e-03 1.283044148557179298e+00 1.297559785955287870e+00 1.295188705923386197e+00 1.295212644383090250e+00
4.028981367397158758e-03 1.216301670963026771e+00 1.231258414618378039e+00 1.228814785620329975e+00 1.228839159583470897e+00
4.122828399287243283e-03 1.153681009933558377e+00 1.169096291298164392e+00 1.166577193809946955e+00 1.166601993946478455e+00
4.218861409366714971e-03 1.094913152376778775e+00 1.110805366382146886e+00 1.108207714514938935e+00 1.108232931192643766e+00
4.317131315608665164e-03 1.039747412338863031e+00 1.056135824198255024e+00 1.053456379933651821e+00 1.053482003297177227e+00
4.417690222018139275e-03 9.879452753807181908e-01 1.004850032829118334e+00 1.002085402842324280e+00 1.002111422494837312e+00
4.520591446258370553e-03 9.392913756003529180e-01 9.567337614228269560e-01 9.538803544376067700e-01 9.539067597997966663e-01
4.625889547920509527e-03 8.935797826435695201e-01 9.115820948067172580e-01 9.086361397885349689e-01 9.086629198175572020e-01
4.733640357451843195e-03 8.506190584251771547e-01 8.692046882643240657e-01 8.661622200192928833e-01 8.661893632587037706e-01
4.843901005757835464e-03 8.102320399007791885e-01 8.294255750764185642e-01 8.262824156050048163e-01 8.263099102903270765e-01
4.956729954493689812e-03 7.722505628226339347e-01 7.920778398887875493e-01 7.888295877376063636e-01 7.888574215614153617e-01
5.072187027061494241e-03 7.365183614333278284e-01 7.570064243984638841e-01 7.536484593372951846e-01 7.536766195319998252e-01
5.190333440329378961e-03 7.028896180536228222e-01 7.240669486111023234e-01 7.205943913139192247e-01 7.206228646266878979e-01
5.311231837089511014e-03 6.712281794952249525e-01 6.931245601869371331e-01 6.895322921307349695e-01 6.895610648165926282e-01
5.434946319272132564e-03 6.414063809604465538e-01 6.640532098477012202e-01 6.603358184205553316e-01 6.603648762679567019e-01
5.561542481933251167e-03 6.133060122892191046e-01 6.367360523223947188e-01 6.328878690004283714e-01 6.329171973376520599e-01
5.691087448034008386e-03 5.868145053035321856e-01 6.110623669442274419e-01 6.070773837701752829e-01 6.071069673654103660e-01
5.823649904030160813e-03 5.618266997508182259e-01 5.869285436014641810e-01 5.828004583174045683e-01 5.828302814023264000e-01
5.959300136290549867e-03 5.382459880997992885e-01 5.642397304908642885e-01 5.599619081756829209e-01 5.599919545212049821e-01
6.098110068363862650e-03 5.159808501579106199e-01 5.429062758082827678e-01 5.384717251792840997e-01 5.385019781254439808e-01
6.240153299113451041e-03 4.949449034135117165e-01 5.228436731615032640e-01 5.182450397563628242e-01 5.182754820080667235e-01
6.385505141740422871e-03 4.750578904012513481e-01 5.039736675003426702e-01 4.992032066673023905e-01 4.992338206836419712e-01
6.534242663715696987e-03 4.562446079448934100e-01 4.862230240841030060e-01 4.812726000024853956e-01 4.813033674847406185e-01
6.686444727642201422e-03 4.384343648243213543e-01 4.695231899711411749e-01 4.643842399388556919e-01 4.644151421228856491e-01
6.842192033068861430e-03 4.215606985601178525e-01 4.538098800798243682e-01 4.484733997961339869e-01 4.485044175804423494e-01
7.001567159278570575e-03 4.055612287349855127e-01 4.390230229393149997e-01 4.334795354326718697e-01 4.335106497702509998e-01
7.164654609072828098e-03 3.903776880896603352e-01 4.251065387499511350e-01 4.193461049828376974e-01 4.193772957680876323e-01
7.331540853576230636e-03 3.759550250618285960e-01 4.120078031828095511e-01 4.060199707846219308e-01 4.060512173579023942e-01
7.502314378084614342e-03 3.622414715648138994e-01 3.996774252345580702e-01 3.934512249253125926e-01 3.934825066845493158e-01
7.677065728981130946e-03 3.491884039505080417e-01 3.880692166474583593e-01 3.815931392455363391e-01 3.816244353580940940e-01
7.855887561745130213e-03 3.367499277157018911e-01 3.771398596260917557e-01 3.704018174708423317e-01 3.704331064485567593e-01
8.038874690079331892e-03 3.248831584238139336e-01 3.668487429893654284e-01 3.598361058934426149e-01 3.598673665110880271e-01
8.226124136181300200e-03 3.135472634392936220e-01 3.571578549678577352e-01 3.498573391478883576e-01 3.498885489770117707e-01
8.417735182185899154e-03 3.027040650064213856e-01 3.480313338284553581e-01 3.404290691616247977e-01 3.404602062859584111e-01
8.613809422805998595e-03 2.923173769548115253e-01 3.394355102334311591e-01 3.315169849868794816e-01 3.315480271243803623e-01
8.814450819199336554e-03 2.823531932507895581e-01 3.313387912164905691e-01 3.230888471825945629e-01 3.231197718962217635e-01
9.019765754090117507e-03 2.727789513443175107e-01 3.237114749349446208e-01 3.151142041319511811e-01 3.151449888496618001e-01
9.229863088174571420e-03 2.635650522007691454e-01 3.165254125881048486e-01 3.075643763725519064e-01 3.075949986270409275e-01
9.444854217840411431e-03 2.546820138662501676e-01 3.097544368392984859e-01 3.004123096050613784e-01 3.004427465228932670e-01
9.664853134230856624e-03 2.461036052800265050e-01 3.033734671860583987e-01 2.936323842909295267e-01 2.936626133925077098e-01
9.889976483684670416e-03 2.378041492704143778e-01 2.973590142710038076e-01 2.872003548583289545e-01 2.872303535754112680e-01
1.012034362958452206e-02 2.297593906489220628e-01 2.916888647802202139e-01 2.810932384877113388e-01 2.811229844262580491e-01
1.035607671564711500e-02 2.219468930287243069e-01 2.863419369809627191e-01 2.752892652369809956e-01 2.753187363115278119e-01
1.059730073068982856e-02 2.143455345127989187e-01 2.812983720436358359e-01 2.697678604220017373e-01 2.697970346673763120e-01
1.084414357491071679e-02 2.069353821745593680e-01 2.765392428675672587e-01 2.645093790957653290e-01 2.645382349134509092e-01
1.109673612772183598e-02 1.996982032983956601e-01 2.720464634198106468e-01 2.594951231275108294e-01 2.595236394144047054e-01
1.135521231718110598e-02 1.926164243359659300e-01 2.678030252205169104e-01 2.547073396574466853e-01 2.547354957073373893e-01
1.161970919107668115e-02 1.856741679877554618e-01 2.637926228990246091e-01 2.501291024644072269e-01 2.501568781685089560e-01
1.189036698973279689e-02 1.788568558547720955e-01 2.599996615266261801e-01 2.457442429932983341e-01 2.457716189431956855e-01
1.216732922063110817e-02 1.721510718725495492e-01 2.564093032045340337e-01 2.415373593599874635e-01 2.415643168911412175e-01
1.245074273498338047e-02 1.655446889316098957e-01 2.530073459487883203e-01 2.374937383914254019e-01 2.375202596663208987e-01
1.274075780645927101e-02 1.590271021581094180e-01 2.497800796938866863e-01 2.335992824957347502e-01 2.336253507009586894e-01
1.303752821238140548e-02 1.525884641422455834e-01 2.467144776335192802e-01 2.298405124755283080e-01 2.298661117880247129e-01
1.334121131786897285e-02 1.462209202582733791e-01 2.437979386390775050e-01 2.262046001611072721e-01 2.262297159706425365e-01
1.365196816366862249e-02 1.399178088372255158e-01 2.410183324306469921e-01 2.226792484095278524e-01 2.227038673692766646e-01
1.396996355879494452e-02 1.336737416833105874e-01 2.383639899121937911e-01 2.192526975478618079e-01 2.192768077326913978e-01
1.429536617965956359e-02 1.274850887155482282e-01 2.358236136198849087e-01 2.159137549015720803e-01 2.159373458869416618e-01
1.462834867815765612e-02 1.213494922689036110e-01 2.333863168425805434e-01 2.126517293187990265e-01 2.126747923283456021e-01
1.496908780227258415e-02 1.152659604212012828e-01 2.310416236837386228e-01 2.094564519266320368e-01 2.094789798752712262e-01
1.531776453423169815e-02 1.092354620348824912e-01 2.287793094515757075e-01 2.063182848987179241e-01 2.063402724914286945e-01
1.567456425318002403e-02 1.032603601529656773e-01 2.265895149251166418e-01 2.032281011877300758e-01 2.032495449890098504e-01
1.603967693181096443e-02 9.734451168556791656e-02 2.244627173268281539e-01 2.001772927246396327e-01 2.001981914999852175e-01
1.641329737946533446e-02 9.149351800874926111e-02 2.223896697743681095e-01 1.971577956208201698e-01 1.971781502885585624e-01
1.679562554791505513e-02 8.571441409458659122e-02 2.203614523006438286e-01 1.941620787186589259e-01 1.941818918433598218e-01
1.718686692037232205e-02 8.001585856266095476e-02 2.183694184655807780e-01 1.911831701362141644e-01 1.912024468983459513e-01
1.758723300913399637e-02 7.440786765854512375e-02 2.164052388305073849e-01 1.882146560088150677e-01 1.882334036282145018e-01
1.799694199252991136e-02 6.890186194403220832e-02 2.144608768331595361e-01 1.852507063930643183e-01 1.852689343267970579e-01
1.841621952724746200e-02 6.351069124303668212e-02 2.125285684009847464e-01 1.822861104846031921e-01 1.823038303240539781e-01
1.884529977731004557e-02 5.824818179345019747e-02 2.106008766342180039e-01 1.793162486793550836e-01 1.793334741440124891e-01
1.928442670555642613e-02 5.312913511858903537e-02 2.086706733020524118e-01 1.763371308667883441e-01 1.763538777012995662e-01
1.973385567688501138e-02 4.816921664459684893e-02 2.067311199102624120e-01 1.733454182846005387e-01 1.733617041786812418e-01
2.019385542422280286e-02 4.338451624105037902e-02 2.047757159784206749e-01 1.703384069248021493e-01 1.703542513208232412e-01
2.066471042757393739e-02 3.879138008337142812e-02 2.027982783145650669e-01 1.673140412802475996e-01 1.673294654030193229e-01
2.114672375305736915e-02 3.440617748120610581e-02 2.007929433775038908e-01 1.642709387769724916e-01 1.642859649642974262e-01
2.164022039211482146e-02 3.024474939610194424e-02 1.987541944029805607e-01 1.612083285453857762e-01 1.612229808451255686e-01
2.214555113076931148e-02 2.632239346877105965e-02 1.966768217468636004e-01 1.581261323027303989e-01 1.581404353514752614e-01
2.266309696485529004e-02 2.265314615789684391e-02 1.945559560484066697e-01 1.550248525921066323e-01 1.550388319941504167e-01
2.319327405967314126e-02 1.924963689486058546e-02 1.923870539261741397e-01 1.519056359159431380e-01 1.519193173504024830e-01
2.373653923194038104e-02 1.612253773036749147e-02 1.901658862186984267e-01 1.487701798087832927e-01 1.487835897074514246e-01
2.429339590884695838e-02 1.328034563912859796e-02 1.878885283167601450e-01 1.456207823797068812e-01 1.456339466077092026e-01
2.486440049429047144e-02 1.072879071135636117e-02 1.855513723962818329e-01 1.424602229336544845e-01 1.424731670251540017e-01
2.545016904691107390e-02 8.470678590519538365e-03 1.831510905476696205e-01 1.392918072244232197e-01 1.393045559537723355e-01
2.605138414935892141e-02 6.505549398446087983e-03 1.806846235617929342e-01 1.361193442645295959e-01 1.361319213302752407e-01
2.666880182427870324e-02 4.829176646054310872e-03 1.781492134167183272e-01 1.329469907894446357e-01 1.329594184664520951e-01
2.730325833067690292e-02 3.433635985169728767e-03 1.755423501341632497e-01 1.297793914814269201e-01 1.297916903109221087e-01
2.795567665543711652e-02 2.306934980194650341e-03 1.728618033554081002e-01 1.266215242195584956e-01 1.266337126413849545e-01
2.862707249947183188e-02 1.433044165056899426e-03 1.701056214335876227e-01 1.234787710803883498e-01 1.234908650724130391e-01
2.931855954702877395e-02 7.917715604738963849e-04 1.672721666030892174e-01 1.203567002195675001e-01 1.203687129184454335e-01
3.003135380076110347e-02 3.591269284478670670e-04 1.643601000729740247e-01 1.172612922089513732e-01 1.172732333452428666e-01
3.076677676525644764e-02 1.074704623537850315e-04 1.613684882754582439e-01 1.141987220929121666e-01 1.142105977168139525e-01
3.152625726899215691e-02 6.075882167471539782e-06 1.582968093428866185e-01 1.111753630184691283e-01 1.111871747495349061e-01
3.231133173062088193e-02 2.185128041098844699e-05 1.551450378484912351e-01 1.081976945130735529e-01 1.082094393476495248e-01
3.312364270177142050e-02 1.203284881833629468e-04 1.519137422621018585e-01 1.052722760516211914e-01 1.052839449161361990e-01
3.396493555685321797e-02 2.668894394372810230e-04 1.486041510960602885e-01 1.024056775498545235e-01 1.024172554602847118e-01
3.483705325200830982e-02 4.284311105864900570e-04 1.452182985521803527e-01 9.960395606889771436e-02 9.961542097700540332e-02
3.574192914088124978e-02 5.749701314550090476e-04 1.417591083713300171e-01 9.687311080474889091e-02 9.688443303442950683e-02
3.668157791347764068e-02 6.818612423178168225e-04 1.382305055993016396e-01 9.421810302233855905e-02 9.422924476023250562e-02
3.765808481347817510e-02 7.315254191251097408e-04 1.346375426317334423e-01 9.164320754232753441e-02 9.165412260213644247e-02
3.867359338434094018e-02 7.154343855693101302e-04 1.309864903452577223e-01 8.915123613894754273e-02 8.916187008726791929e-02
3.973029208872616569e-02 6.353333909341888535e-04 1.272848174135893795e-01 8.674324991258899886e-02 8.675354078626974774e-02
4.083040023103345212e-02 5.037172703990161005e-04 1.235413062102469622e-01 8.441814304003708580e-02 8.442802312193897762e-02
4.197615368031600708e-02 3.429828620439818554e-04 1.197660476630846432e-01 8.217241038785952356e-02 8.218180871574803925e-02
4.316979093227771291e-02 1.833170964030453299e-04 1.159701850200073880e-01 7.999929800557602222e-02 8.000814422199747922e-02
4.441354005817076123e-02 5.861535842967813655e-05 1.121659694447486033e-01 7.788899259203925507e-02 7.789722258245623809e-02
4.570960706208093693e-02 1.164606260404094732e-06 1.083662402787822360e-01 7.582786132877104845e-02 7.583542294114874183e-02
4.706016610715919174e-02 3.516029909070703043e-05 1.045844299277012557e-01 7.379917418507678240e-02 7.380603489891125746e-02
4.846735198074262480e-02 1.704527623700934872e-04 1.008338669894328909e-01 7.178287607845255935e-02 7.178903024234269126e-02
4.993325505635311939e-02 3.977171927300124647e-04 9.712747462858610514e-02 6.975667573378560582e-02 6.976215110644369555e-02
5.145991888779510165e-02 6.866908975095132152e-04 9.347725992469113621e-02 6.769703615922022244e-02 6.770189834526818551e-02
5.304934044810645510e-02 9.890234151727526294e-04 8.989379315988293984e-02 6.558100359503424293e-02 6.558535698382163270e-02
5.470347291403875045e-02 1.246204817103786864e-03 8.638580909332334301e-02 6.338827779227826364e-02 6.339226163728284291e-02
5.642423080285959708e-02 1.401997111582092836e-03 8.295986300869399865e-02 6.110367761293972189e-02 6.110745697361337492e-02
5.821349719736736844e-02 1.417075435216863478e-03 7.962014939643599631e-02 5.871979921389820084e-02 5.872355096103615973e-02
6.007313274874136882e-02 1.281671891344063948e-03 7.636850404793560365e-02 5.623921769826766004e-02 5.624311341384451157e-02
6.200498612412528449e-02 1.021971183487662338e-03 7.320462372665853534e-02 5.367624409471487973e-02 5.368043247785540123e-02
6.401090556354989414e-02 6.961402494916866818e-04 7.012645089992879111e-02 5.105738448013324993e-02 5.106197625318247002e-02
6.609275122467066221e-02 3.792256593280973970e-04 6.713076059645567417e-02 4.842045360685640065e-02 4.842551076563954976e-02
6.825240801917439870e-02 1.399749440474435834e-04 6.421382813976898862e-02 4.581182130183217294e-02 4.581735016962468210e-02
7.049179867718667614e-02 1.747789421307981598e-05 6.137207656057858812e-02 4.328219246687032423e-02 4.328813780653763266e-02
7.281289681179854700e-02 7.262305320717877935e-06 5.860274488050089964e-02 4.088111736039832383e-02 4.088735481328335114e-02
7.521773979193945026e-02 6.477255155205460747e-05 5.590435237684091702e-02 3.865090565082215934e-02 3.865723374372569132e-02
7.770844126606800406e-02 1.271186560648130293e-04 5.327697304405812351e-02 3.662090812009907714e-02 3.662704864951697725e-02
8.028720321005951288e-02 1.445360598456409075e-04 5.072234828994240385e-02 3.480281657131633483e-02 3.480843833446567448e-02
8.295632739932355670e-02 1.056152988869472670e-04 4.824364866156209686e-02 3.318799021415144712e-02 3.319276799113164006e-02
8.571822622708044626e-02 4.106800800159791313e-05 4.584513625989029839e-02 3.174727798616573671e-02 3.175098236434110988e-02
8.857543280762988913e-02 1.326188579728451590e-06 4.353146237130094132e-02 3.043397802280955328e-02 3.043656679322631967e-02
9.153061031529886871e-02 2.013923468605208073e-05 4.130695749485042978e-02 2.919029635090068797e-02 2.919196166443899926e-02
9.458656051660216391e-02 8.834923744014842525e-05 3.917473717784608622e-02 2.795691899928827787e-02 2.795805324946527143e-02
9.774623145509223066e-02 1.584794858503367401e-04 3.713608802907822359e-02 2.668473591763923999e-02 2.668581782268844918e-02
1.010127242455583635e-01 1.797044654917278586e-04 3.519007698901036735e-02 2.534607710301006733e-02 2.534752400809791445e-02
1.043892989268351557e-01 1.374967380794935728e-04 3.333364443116353798e-02 2.394228771674043049e-02 2.394434253671462107e-02
1.078793793107018506e-01 6.449506565343921286e-05 3.156215475570708917e-02 2.250437032767283255e-02 2.250706465062432202e-02
1.114865567484450287e-01 1.106269540682511305e-05 2.987019662949324736e-02 2.108510377427088786e-02 2.108828388642762161e-02
1.152145927169077044e-01 1.203351156555463081e-06 2.825254709954769933e-02 1.974433993799361645e-02 1.974771101128738535e-02
1.190674201026077489e-01 1.618567245696643487e-05 2.670490848401952180e-02 1.853135706521277792e-02 1.853453212930649199e-02
1.230491430362114919e-01 2.207111630484149945e-05 2.522438820518923749e-02 1.747001750270386206e-02 1.747261030134682550e-02
1.271640351008143377e-01 9.638606986442717930e-06 2.380957167608107466e-02 1.655128876782737887e-02 1.655307476536167430e-02
1.314165357067735018e-01 2.846046127951574700e-11 2.246009936299540183e-02 1.573602379092256184e-02 1.573708707687801467e-02
1.358112443940736325e-01 1.092754987383172024e-05 2.117599213130094693e-02 1.496808092486877698e-02 1.496880070816806844e-02
1.403529127914169561e-01 3.016536947905212385e-05 1.995675750631397544e-02 1.419479584399818695e-02 1.419563350768376746e-02
1.450464339307033779e-01 3.282661067935012655e-05 1.880087247552393592e-02 1.338766731741247891e-02 1.338890772813789050e-02
1.498968285879045126e-01 1.661838285599771773e-05 1.770562471912727476e-02 1.255353451082279366e-02 1.255517563726031918e-02
1.549092282985180258e-01 2.134119880405391811e-06 1.666751454476584487e-02 1.172928681005521757e-02 1.173110511793927849e-02
1.600888546802253787e-01 5.983246191499211261e-07 1.568289964289894950e-02 1.096151473295653260e-02 1.096320038001480889e-02
1.654409946899664252e-01 2.446680272146019821e-06 1.474864088765097045e-02 1.028159633689810712e-02 1.028290158202885794e-02
1.709709714508209910e-01 5.008314602847305695e-07 1.386250187879309835e-02 9.689780263584456613e-03 9.690665695810991506e-03
1.766841103098353016e-01 1.086780080359979547e-06 1.302307706972759965e-02 9.156856107986388604e-03 9.157524226280324559e-03
1.825856998357810457e-01 6.075157730781045332e-06 1.222930975657037823e-02 8.642755555298094194e-03 8.643482298269535014e-03
1.886809475408020853e-01 7.141398337177871134e-06 1.147989647652294595e-02 8.121474175914735957e-03 8.122386369146434443e-03
1.949749302173622301e-01 2.871703824226391016e-06 1.077304312750434513e-02 7.595988938154596241e-03 7.597008881041191104e-03
2.014725389273677447e-01 1.580088327319908067e-07 1.010650234136270184e-02 7.091835015076689355e-03 7.092791801119939683e-03
2.081784188690999349e-01 5.137570008565187891e-08 9.477955979913041049e-03 6.634531107636865502e-03 6.635304023559995823e-03
2.150969045842392458e-01 2.205512652902571500e-08 8.885429722996803295e-03 6.229227179799841189e-03 6.229833044701048143e-03
2.222319512549603138e-01 9.572601329791429150e-07 8.327336433584473299e-03 5.858772925165315823e-03 5.859331359496179094e-03
2.295870631806348761e-01 2.006156943668004633e-06 7.802326564005525496e-03 5.500736864897419302e-03 5.501337652468169144e-03
2.371652209123876476e-01 1.259021177686134369e-06 7.308972707013312864e-03 5.147096576510105589e-03 5.147724557926405820e-03
2.449688089539342473e-01 2.671399727677182110e-07 6.845767213879458413e-03 4.808030426652275605e-03 4.808614936540517130e-03
2.529995463945960976e-01 6.187489933496197891e-08 6.411114582180789563e-03 4.497260872089689845e-03 4.497762036132829135e-03
2.612584233027727132e-01 2.301650710587345511e-07 6.003539824571876501e-03 4.216413376478339407e-03 4.216855412611595320e-03
2.697456461435593367e-01 6.356901366713853267e-07 5.621662509408177459e-03 3.955036591298452357e-03 3.955465319209809649e-03
2.784605958504260403e-01 6.267680821934698666e-07 5.264163567001037790e-03 3.703923294975194468e-03 3.704350052817822515e-03
2.874018024258035431e-01 2.860026211709497496e-07 4.929734609922558491e-03 3.464176274352983708e-03 3.464579380170218405e-03
2.965669400092020291e-01 1.473993482797762269e-07 4.617106314146416507e-03 3.242008723916041477e-03 3.242372512617579770e-03
3.059528461711218950e-01 2.174599927892967336e-07 4.325086226068673018e-03 3.038661900377293348e-03 3.038995045443773808e-03
3.155555687077663540e-01 3.306347829088279967e-07 4.052514467454729555e-03 2.849312247292058037e-03 2.849629943953285120e-03
3.253704423811831226e-01 2.844231376800340482e-07 3.798238304598332889e-03 2.670137853308325853e-03 2.670441916965100599e-03
3.353921968543853716e-01 1.803831027467217014e-07 3.561123344820611106e-03 2.501952613751971116e-03 2.502236477254759280e-03
3.456150955328240459e-01 1.585710295192750276e-07 3.340099979678027090e-03 2.346460295071761161e-03 2.346722772699705740e-03
3.560331032129518403e-01 1.911065049755229676e-07 3.134163425132766804e-03 2.202573838432143796e-03 2.202820019350229183e-03
3.666400784792822609e-01 1.920664705269244843e-07 2.942338169961120770e-03 2.067983822461305892e-03 2.068217054102076350e-03
3.774299848549380609e-01 1.542673584508577865e-07 2.763680152014800617e-03 1.941957150764467331e-03 1.942176739841643563e-03
3.883971130005397510e-01 1.337880578650587894e-07 2.597274366090192559e-03 1.824819963835861694e-03 1.825025291304098549e-03
3.995363049805923383e-01 1.369087302501136607e-07 2.442275325114317674e-03 1.716126017067046454e-03 1.716318730367653823e-03
4.108431709547646915e-01 1.339418833327470681e-07 2.297874060519308412e-03 1.614751495587421351e-03 1.614933419261728237e-03
4.223142887206662865e-01 1.185161598309652170e-07 2.163302451026527084e-03 1.520048195202640482e-03 1.520219747700279900e-03
4.339473773638374277e-01 1.079555175596449639e-07 2.037832704183731563e-03 1.431818048700173301e-03 1.431979355263431628e-03
4.457414377900525970e-01 1.048205895697804032e-07 1.920784523320150268e-03 1.349634994754133179e-03 1.349786926960470142e-03
4.576968549651385665e-01 9.961425675279248179e-08 1.811520123983986113e-03 1.272874567087778656e-03 1.273018070864710910e-03
4.698154590452169321e-01 9.153294395915712856e-08 1.709442031121096404e-03 1.201103066531538331e-03 1.201238555298043964e-03
4.821005449970213186e-01 8.567953276196662608e-08 1.613993050384697481e-03 1.134023979866059881e-03 1.134151809586470471e-03
4.945568525502475055e-01 8.163390450464765584e-08 1.524655746767496342e-03 1.071266830854991766e-03 1.071387592686601871e-03
