# Power spectra at z = 1000 [Mpc^3] from CLASS transfer functions;
# last column is the direct CLASS P_m(k) for cross-checking.
# k[1/Mpc]  P_b  P_cdm  P_m  P_m_direct
1.799679869898274662e-05 1.083275874006877095e+07 1.083275873996374756e+07 1.083275873998087086e+07 1.083274881272720173e+07
1.841599799215643668e-05 1.010157282112451270e+07 1.010157282102085836e+07 1.010157282103775814e+07 1.010156356397013925e+07
1.884496169123012026e-05 9.419739664510326460e+06 9.419739664408715442e+06 9.419739664425276220e+06 9.419731032081997022e+06
1.928391723843505157e-05 8.783929453787965700e+06 8.783929453688723966e+06 8.783929453704897314e+06 8.783921403935970739e+06
1.973309737381261853e-05 8.191035664200187661e+06 8.191035664103675634e+06 8.191035664119406603e+06 8.191028157615264878e+06
2.019274025861620455e-05 7.638161296426455490e+06 7.638161296333095990e+06 7.638161296348314732e+06 7.638154296443899162e+06
2.066308960158742272e-05 7.122604899284786545e+06 7.122604899194769561e+06 7.122604899209440686e+06 7.122598371705910191e+06
2.114439478817372952e-05 6.641847374427996576e+06 6.641847374341590330e+06 6.641847374355671927e+06 6.641841287353923544e+06
2.163691101275587867e-05 6.193542612971477211e+06 6.193542612889562733e+06 6.193542612902912311e+06 6.193536936773287132e+06
2.214089941395536629e-05 5.775495258227758110e+06 5.775495258150359616e+06 5.775495258162975311e+06 5.775489965041266754e+06
2.265662721309357722e-05 5.385668009438053705e+06 5.385668009365386330e+06 5.385668009377228096e+06 5.385663073610881343e+06
2.318436785587609409e-05 5.022155111214041710e+06 5.022155111146341078e+06 5.022155111157373525e+06 5.022150508732346818e+06
2.372440115737717539e-05 4.683178130256860517e+06 4.683178130194297060e+06 4.683178130204493180e+06 4.683173838580174372e+06
2.427701345040147933e-05 4.367080880456762388e+06 4.367080880399439484e+06 4.367080880408780649e+06 4.367076878565764055e+06
2.484249773730144495e-05 4.072318879959928337e+06 4.072318879907933064e+06 4.072318879916409031e+06 4.072315148249113932e+06
2.542115384533105943e-05 3.797451779487302527e+06 3.797451779440626502e+06 3.797451779448232148e+06 3.797448299663084559e+06
2.601328858561821803e-05 3.541137945451181382e+06 3.541137945409649517e+06 3.541137945416417904e+06 3.541134700607894454e+06
2.661921591584005451e-05 3.302124196078633890e+06 3.302124196042187046e+06 3.302124196048127953e+06 3.302121170313912444e+06
2.723925710668743613e-05 3.079243081833522301e+06 3.079243081802083179e+06 3.079243081807206385e+06 3.079240260344532318e+06
2.787374091220698924e-05 2.871405881479338743e+06 2.871405881453025620e+06 2.871405881457312964e+06 2.871403250466801692e+06
2.852300374411076262e-05 2.677593883460577112e+06 2.677593883433837909e+06 2.677593883438195568e+06 2.677591430033325218e+06
2.918738985014625854e-05 2.496909140269585885e+06 2.496909140288803726e+06 2.496909140285671223e+06 2.496906853115022182e+06
2.986725149662107222e-05 2.328371833109788597e+06 2.328371833127430640e+06 2.328371833124555647e+06 2.328369700281226076e+06
