# Power spectra at z = 1000 [Mpc^3] from CAMB transfer functions.
# k[1/Mpc]  P_b  P_cdm  P_m
8.719065666198730469e+00 6.393370555191069116e-11 1.249925844604149461e-06 8.781771612120792270e-07
9.014598846435546875e+00 5.855715912161940651e-11 1.144677867159771267e-06 8.042318313528085127e-07
9.320150375366210938e+00 5.362573926581681860e-11 1.048203557729721069e-06 7.364507155216415413e-07
9.636057853698730469e+00 4.909380887929692960e-11 9.597831649443833157e-07 6.743277936038793996e-07
9.962672233581542969e+00 4.495720115627044322e-11 8.787504270912904758e-07 6.173958126964862458e-07
1.030035877227783203e+01 4.115526322512330637e-11 8.044943342611077242e-07 5.652244681186857633e-07
1.064949035644531250e+01 3.767348585870244904e-11 7.364562861766899005e-07 5.174221087145269848e-07
1.101045608520507812e+01 3.448935581573664422e-11 6.741188940395659301e-07 4.736249366033007391e-07
1.138365650177001953e+01 3.156263791992408585e-11 6.170107553771231323e-07 4.335015830747579457e-07
1.176950645446777344e+01 2.889077692358466010e-11 5.646978138429403771e-07 3.967475379340612562e-07
1.216843605041503906e+01 2.643749455466526399e-11 5.167806307326827664e-07 3.630816536315251142e-07
1.258088588714599609e+01 2.419276411147475159e-11 4.728950386834185338e-07 3.322483337342418963e-07
1.300731754302978516e+01 2.213816976959215310e-11 4.327037004259182140e-07 3.040106264506903244e-07
1.344820213317871094e+01 2.025321403642532658e-11 3.958999741371371783e-07 2.781528962714219233e-07
1.390402984619140625e+01 1.853172129639979460e-11 3.622000406267034123e-07 2.544759070133295609e-07
1.437530803680419922e+01 1.695101871368454027e-11 3.313453191822191002e-07 2.327978165794775123e-07
1.486256122589111328e+01 1.550796817351152157e-11 3.030976074569480261e-07 2.129514484749961412e-07
1.536632919311523438e+01 1.418345649262242603e-11 2.772387119875929784e-07 1.947833823123801267e-07
1.588717269897460938e+01 1.297384335380291631e-11 2.535685439397639129e-07 1.781531580036244122e-07
1.642567062377929688e+01 1.186440789363585324e-11 2.319033427511385526e-07 1.629315278250942356e-07
1.698241996765136719e+01 1.085096856118239472e-11 2.120751076972737792e-07 1.490005274717987049e-07
1.755804252624511719e+01 9.921825513958815179e-12 1.939290967811757582e-07 1.362514296943118097e-07
1.815317344665527344e+01 9.073041797036385248e-12 1.773241393721036729e-07 1.245850853592855856e-07
1.876847648620605469e+01 8.295054747253782779e-12 1.621302487819775706e-07 1.139100689329097804e-07
1.940463638305664062e+01 7.584472980215473115e-12 1.482287217413613689e-07 1.041430905956985953e-07
2.006235885620117188e+01 6.933197505692989537e-12 1.355104330968970316e-07 9.520744015389936976e-08
2.074237442016601562e+01 6.338473149125611883e-12 1.238755515942102647e-07 8.703296572321050917e-08
2.144544029235839844e+01 5.793521912211829772e-12 1.132326090669266705e-07 7.955537739690043963e-08
2.217233657836914062e+01 5.295743878142022965e-12 1.034975269931237563e-07 7.271569302247371525e-08
2.292386817932128906e+01 4.840064113387221312e-12 9.459369465503186802e-08 6.646000372256821720e-08
2.370087814331054688e+01 4.423399146968876039e-12 8.645055515899002785e-08 6.073875624679203611e-08
2.450422096252441406e+01 4.042547546712071949e-12 7.900369780600158265e-08 5.550672455001404160e-08
2.533479309082031250e+01 3.693911496127633143e-12 7.219397701874186168e-08 5.072232411862387380e-08
2.619352149963378906e+01 3.375511458889035588e-12 6.596734181130159413e-08 4.634757999610883417e-08
2.708135223388671875e+01 3.084143400736150120e-12 6.027426024957094342e-08 4.234772887912185979e-08
2.799927711486816406e+01 2.817776394159476894e-12 5.506926470388862072e-08 3.869077502827167336e-08
2.894831657409667969e+01 2.574424614459891458e-12 5.031089500562302419e-08 3.534761816581521998e-08
2.992952346801757812e+01 2.351768519509578326e-12 4.596109448584684287e-08 3.229152767403320468e-08
3.094398880004882812e+01 2.148320367087452887e-12 4.198499681251632865e-08 2.949798272311454639e-08
3.199283790588378906e+01 1.962433037253075163e-12 3.835074124935999862e-08 2.694461898045119597e-08
3.307723999023437500e+01 1.792421571410185432e-12 3.502916712250225828e-08 2.461092485361859872e-08
3.419839477539062500e+01 1.637072530487337918e-12 3.199351183980070346e-08 2.247812247446745459e-08
3.535755538940429688e+01 1.495169114386352138e-12 2.921935760014093830e-08 2.052904690685863898e-08
3.655599975585937500e+01 1.365448010735847983e-12 2.668433296548755607e-08 1.874798094547713845e-08
3.779507446289062500e+01 1.246886708466954374e-12 2.436795298876859306e-08 1.712052899449645338e-08
3.907614135742187500e+01 1.138593993393888226e-12 2.225148065804205544e-08 1.563353180245030671e-08
4.040063095092773438e+01 1.039667700888924351e-12 2.031778478794876719e-08 1.427494833450282385e-08
4.177001571655273438e+01 9.492665984864312456e-13 1.855117837123998470e-08 1.303375718464394595e-08
4.318581390380859375e+01 8.666676859676869515e-13 1.693731555008071155e-08 1.189988640959427357e-08
4.464960098266601562e+01 7.912233693750658770e-13 1.546307082378461928e-08 1.086410517103786333e-08
4.616300582885742188e+01 7.223212371114395847e-13 1.411644490190155921e-08 9.917984655771761027e-09
4.772770690917968750e+01 6.593875835972373700e-13 1.288645190555826048e-08 9.053811922399290779e-09
4.934544372558593750e+01 6.019019375795575666e-13 1.176305364225527228e-08 8.264533946089613892e-09
5.101800918579101562e+01 5.493959779299950608e-13 1.073706901166815442e-08 7.543691005196251353e-09
5.274726867675781250e+01 5.014444805565010377e-13 9.800104727730740706e-09 6.885394032707381484e-09
5.453514480590820312e+01 4.576570242567634672e-13 8.944478047112625063e-09 6.284244680188066923e-09
5.638362121582031250e+01 4.176743586409292774e-13 8.163165254870818899e-09 5.735308672427663623e-09
5.829475021362304688e+01 3.811674554547034299e-13 7.449754146904297158e-09 5.234077615767773750e-09
6.027065658569335938e+01 3.478351233345694515e-13 6.798380081107779915e-09 4.776430806430198572e-09
6.231353759765625000e+01 3.174024899247479548e-13 6.203671798488130662e-09 4.358598815201730758e-09
6.442565917968750000e+01 2.896184811071456089e-13 5.660729662793073658e-09 3.977136397992353523e-09
6.660937500000000000e+01 2.642546012739110939e-13 5.165073257984431621e-09 3.628896294571859471e-09
6.886711120605468750e+01 2.411001086277675398e-13 4.712607193368967273e-09 3.311002139128049748e-09
7.120137023925781250e+01 2.199640480610859372e-13 4.299588240996854438e-09 3.020820038557303633e-09
7.361474609375000000e+01 2.006715106583900621e-13 3.922592917149358982e-09 2.755950356814196311e-09
7.610992431640625000e+01 1.830626579144012389e-13 3.578498830592025115e-09 2.514194852309969974e-09
7.868968200683593750e+01 1.669913800338498899e-13 3.264449377482492309e-09 2.293548240217546663e-09
8.135688018798828125e+01 1.523242117293030495e-13 2.977832647133027422e-09 2.092176432100245620e-09
8.411447906494140625e+01 1.389392344664647228e-13 2.716265656843575016e-09 1.908403213235487783e-09
8.696555328369140625e+01 1.267247483165145905e-13 2.477571481307450085e-09 1.740700472652179087e-09
8.991325378417968750e+01 1.155790144580920442e-13 2.259757270195450474e-09 1.587667997071662285e-09
9.296087646484375000e+01 1.054086695316189259e-13 2.061008252951523900e-09 1.448030362283247996e-09
9.611179351806640625e+01 9.612858333776438946e-14 1.879662647752411431e-09 1.320619502642728094e-09
9.936951446533203125e+01 8.766152680052957669e-14 1.714204223013382489e-09 1.204371269380999365e-09
1.027376556396484375e+02 7.993699289738503966e-14 1.563247198355099954e-09 1.098311330771650773e-09
1.062199630737304688e+02 7.289011923336183307e-14 1.425527584864028086e-09 1.001551730439587118e-09
1.098202972412109375e+02 6.646126113644609812e-14 1.299889418326927171e-09 9.132801737088414029e-10
1.135426788330078125e+02 6.059649987734741505e-14 1.185277653803495923e-09 8.327560863108374178e-10
1.173912124633789062e+02 5.524703619390856912e-14 1.080729727931384332e-09 7.593021766894025859e-10
1.213702011108398438e+02 5.036766901993228185e-14 9.853655669189720356e-10 6.923009943093916263e-10
1.254840545654296875e+02 4.591692084605740465e-14 8.983820909413964273e-10 6.311878242293289532e-10
1.297373504638671875e+02 4.185775939182997951e-14 8.190462197354975160e-10 5.754475784769397251e-10
1.341348266601562500e+02 3.815575107387822462e-14 7.466885998397287949e-10 5.246104661793538071e-10
1.386813354492187500e+02 3.477942692414574821e-14 6.806978869455804215e-10 4.782463869368314135e-10
1.433819427490234375e+02 3.170058752175256012e-14 6.205162494943294860e-10 4.359636818218604049e-10
1.482418975830078125e+02 2.889284270819400535e-14 5.656349832960927415e-10 3.974051088206920213e-10
1.532665710449218750e+02 2.633268901324967159e-14 5.155889604147034788e-10 3.622434852079692291e-10
1.584615631103515625e+02 2.399816626072904385e-14 4.699538536101499631e-10 3.301810214129119458e-10
1.638326416015625000e+02 2.186967241416676311e-14 4.283427224027747116e-10 3.009458238167894706e-10
1.693857574462890625e+02 1.992894036102234312e-14 3.904022105594151526e-10 2.742893689955394620e-10
1.751271057128906250e+02 1.815961558915019786e-14 3.558097150246908313e-10 2.499852824744408508e-10
1.810630645751953125e+02 1.654654637318984239e-14 3.242711932305297751e-10 2.278268407263084327e-10
1.872002258300781250e+02 1.507602433192291314e-14 2.955180267161239271e-10 2.076253474703193547e-10
1.935453948974609375e+02 1.373551761289478271e-14 2.693051059932116686e-10 1.892085793597786392e-10
2.001056365966796875e+02 1.251355484890078612e-14 2.454090264336628024e-10 1.724195647367920969e-10
2.068882293701171875e+02 1.139970906436022294e-14 2.236257984344902638e-10 1.571150293200318515e-10
2.139007263183593750e+02 1.038447316147311089e-14 2.037692653500400297e-10 1.431641749594092516e-10
2.211509246826171875e+02 9.459146417805253809e-15 1.856696879576347214e-10 1.304477359465039399e-10
2.286468658447265625e+02 8.615797216838562422e-15 1.691723011676415922e-10 1.188569381804782665e-10
2.363968658447265625e+02 7.847194438302326769e-15 1.541356348111477814e-10 1.082924652728856074e-10
2.444095611572265625e+02 7.146750706965750155e-15 1.404310556729626569e-10 9.866383404721901229e-11
2.526938629150390625e+02 6.508444465606801760e-15 1.279407829679612973e-10 8.988840921597684996e-11
2.612589416503906250e+02 5.926793293474378124e-15 1.165577495632064142e-10 8.189089684140782310e-11
2.701143493652343750e+02 5.396787837718417316e-15 1.061841378713346273e-10 7.460257411828763452e-11
2.792699279785156250e+02 4.913863437786165911e-15 9.673073453342340144e-11 6.796076895687619412e-11
2.887357788085937500e+02 4.473856926741869022e-15 8.811619489623723211e-11 6.190835344366263371e-11
2.985225219726562500e+02 4.072973173465353758e-15 8.026636993951896670e-11 5.639319566874689826e-11
3.086409912109375000e+02 3.707750777817665419e-15 7.311358463102379801e-11 5.136779196446283891e-11
3.191023864746093750e+02 3.375031153938492720e-15 6.659620771509722204e-11 4.678879159114579522e-11
3.299183959960937500e+02 3.071936083873065548e-15 6.065794394549683943e-11 4.261668795635387141e-11
3.411010437011718750e+02 2.795841883067263708e-15 5.524756693797705509e-11 3.881545432293798115e-11
3.526626892089843750e+02 2.544352507071541598e-15 5.031823221979259131e-11 3.535219686434665221e-11
3.646162414550781250e+02 2.315289810662034785e-15 4.582738702407773701e-11 3.219700894785404444e-11
3.769749450683593750e+02 2.106661995863274781e-15 4.173609374769071678e-11 2.932255480092571531e-11
3.897525329589843750e+02 1.916655565135190128e-15 3.800896403172160376e-11 2.670394287640487363e-11
4.029632568359375000e+02 1.743619333626226977e-15 3.461368344725990198e-11 2.431848472594921873e-11
4.166217346191406250e+02 1.586043994503496569e-15 3.152079292023657331e-11 2.214548162904339534e-11
4.307431640625000000e+02 1.442556719117736499e-15 2.870343546179654481e-11 2.016606846788615570e-11
4.453432922363281250e+02 1.311905486893786502e-15 2.613717402233373122e-11 1.836306801061837746e-11
4.604382324218750000e+02 1.192948497418747783e-15 2.379967750654188308e-11 1.672079488757027832e-11
4.760448303222656250e+02 1.084646017749865687e-15 2.167063750668773991e-11 1.522497405925804514e-11
4.921804504394531250e+02 9.860486298323865514e-16 1.973150115519572978e-11 1.386258035446230608e-11
5.088629150390625000e+02 8.962935247304134635e-16 1.796539306209155029e-11 1.262175260141606969e-11
5.261109008789062500e+02 8.145925382865262972e-16 1.635691755652590729e-11 1.149167826869357256e-11
5.439434814453125000e+02 7.402275983196902193e-16 1.489204939919552828e-11 1.046249632069562452e-11
5.623804931640625000e+02 6.725457483066905710e-16 1.355800974961463012e-11 9.525231298157521564e-12
5.814425048828125000e+02 6.109503064757459013e-16 1.234314647019507660e-11 8.671697908357867135e-12
6.011505126953125000e+02 5.548982188285477967e-16 1.123683958381693770e-11 7.894435105626484983e-12
6.215266113281250000e+02 5.038950298821365595e-16 1.022942754808076060e-11 7.186655784363615851e-12
6.425933227539062500e+02 4.574896945920992747e-16 9.312086692025989265e-12 6.542157007100035671e-12
6.643740844726562500e+02 4.152712960998991999e-16 8.476792184852754986e-12 5.955301356219688813e-12
6.868931274414062500e+02 3.768660811175603750e-16 7.716225228215911613e-12 5.420948412382387005e-12
7.101754150390625000e+02 3.419325365486617068e-16 7.023718412435542291e-12 4.934414422202992867e-12
7.342469482421875000e+02 3.101607012740673248e-16 6.393204108473549141e-12 4.491432399611472448e-12
7.591342773437500000e+02 2.812670574844634537e-16 5.819141175866793247e-12 4.088115696659899712e-12
7.848652954101562500e+02 2.549941336336643879e-16 5.296494146045382934e-12 3.720921140648592029e-12
8.114683227539062500e+02 2.311069839579254657e-16 4.820666001797979661e-12 3.386620628029191060e-12
8.389731445312500000e+02 2.093920899800895993e-16 4.387482564760514236e-12 3.082280524563385526e-12
8.674102172851562500e+02 1.896543561896024818e-16 3.993124841200623720e-12 2.805219381438184278e-12
8.968111572265625000e+02 1.717165674120307525e-16 3.634124468368526983e-12 2.552999912169839902e-12
9.272087402343750000e+02 1.554169006497794375e-16 3.307321430612297775e-12 2.323400803347364096e-12
9.586365356445312500e+02 1.406084750958387208e-16 3.009833051195731635e-12 2.114398066355160921e-12
9.911296386718750000e+02 1.271571551420770034e-16 2.739037946106193111e-12 1.924149641702177504e-12
1.024724121093750000e+03 1.149410342185386703e-16 2.492548919000303620e-12 1.750978051787144274e-12
1.059457275390625000e+03 1.038487671973291836e-16 2.268188024553974280e-12 1.593352619982946194e-12
1.095367675781250000e+03 9.377929907737416501e-17 2.063974859078943069e-12 1.449882314902284364e-12
1.132495239257812500e+03 8.464041576398620296e-17 1.878103141755849137e-12 1.319299162104436984e-12
1.170881347656250000e+03 7.634826761283202215e-17 1.708931390495549429e-12 1.200448377855489746e-12
1.210568481445312500e+03 6.882648269231582665e-17 1.554962322097841465e-12 1.092279044989652448e-12
1.251600952148437500e+03 6.200550503908925748e-17 1.414833636532997208e-12 9.938333793077513967e-13
1.294024047851562500e+03 5.582193291356135015e-17 1.287303380212434512e-12 9.042388691114788823e-13
1.337885131835937500e+03 5.021824086721271693e-17 1.171242573413944221e-12 8.227025831419876312e-13
1.383232910156250000e+03 4.514184337414213672e-17 1.065621983015185847e-12 7.485011959199039389e-13
1.430117675781250000e+03 4.054504850895225218e-17 9.695047499189146656e-13 6.809765425164204800e-13
1.478591796875000000e+03 3.638431348419827191e-17 8.820373359648414624e-13 6.195291133402613948e-13
1.528708862304687500e+03 3.262004943576340802e-17 8.024441571288787323e-13 5.636136631188837232e-13
1.580524658203125000e+03 2.921621775871995020e-17 7.300170667620675680e-13 5.127332477865287341e-13
1.634096557617187500e+03 2.613999923508424452e-17 6.641129703457981925e-13 4.664354297766182267e-13
1.689484497070312500e+03 2.336154091654925221e-17 6.041456397654076937e-13 4.243087001545853276e-13
1.746749755859375000e+03 2.085364675893545483e-17 5.495814307115987063e-13 3.859779520738043646e-13
1.805956054687500000e+03 1.859156751831526579e-17 4.999348374515322213e-13 3.511020413207027735e-13
1.867169067382812500e+03 1.655274928810681424e-17 4.547633970786169044e-13 3.193702897627548332e-13
1.930457031250000000e+03 1.471668626092491062e-17 4.136648434818063214e-13 2.904999916834849483e-13
1.995890014648437500e+03 1.306470566162178288e-17 3.762727705369089959e-13 2.642335677517648751e-13
2.063541015625000000e+03 1.157978494037170228e-17 3.422535963405054504e-13 2.403369116135006811e-13
2.133484863281250000e+03 1.024643927610767612e-17 3.113036900741911195e-13 2.185965032033485023e-13
2.205799804687500000e+03 9.050561930663225077e-18 2.831470409699055057e-13 1.988185142779222425e-13
2.280565429687500000e+03 7.979293554235599784e-18 2.575316262326543537e-13 1.808259623850907993e-13
2.357865478515625000e+03 7.020928713976562344e-18 2.342289773596406555e-13 1.644581010002560406e-13
2.437785644531250000e+03 6.164809601283673273e-18 2.130306022730954485e-13 1.495686848028768279e-13
2.520414550781250000e+03 5.401214776007903112e-18 1.937469417756867984e-13 1.360243027156288198e-13
2.605844482421875000e+03 4.721279343524521064e-18 1.762053366714463887e-13 1.237038764608996977e-13
2.694169921875000000e+03 4.116932089006540961e-18 1.602488215908526303e-13 1.124969800474218129e-13
2.785489013671875000e+03 3.580804901147646710e-18 1.457343496097732172e-13 1.023031960252322736e-13
2.879903320312500000e+03 3.106192653902483468e-18 1.325320468604715418e-13 9.303119391382633219e-14
2.977518066406250000e+03 2.686970695220555480e-18 1.205234371505492508e-13 8.459776797272930415e-14
3.078441406250000000e+03 2.317555349171976671e-18 1.096007846653791751e-13 7.692726121909243542e-14
3.182785644531250000e+03 1.992860075375005335e-18 9.966617917252229564e-14 6.995084714375363055e-14
3.290666503906250000e+03 1.708244700785948695e-18 9.063036372812874331e-14 6.360583175608891526e-14
3.402203857421875000e+03 1.459478299969174583e-18 8.241214514200650987e-14 5.783516569303481791e-14
3.517521972656250000e+03 1.242711174353861208e-18 7.493779089016300299e-14 5.258702747887832041e-14
3.636748779296875000e+03 1.054436284937936871e-18 6.814007366164054336e-14 4.781420688527125706e-14
3.760016601562500000e+03 8.914652640503159280e-19 6.195781734885663639e-14 4.347370174354742156e-14
3.887463134765625000e+03 7.509018421737205204e-19 5.633545320233961096e-14 3.952649093989270279e-14
4.019229003906250000e+03 6.301182215984345335e-19 5.122235575689797205e-14 3.593700247865420916e-14
4.155461425781250000e+03 5.267368784488274273e-19 4.657247691338718687e-14 3.267286614871967032e-14
4.296311035156250000e+03 4.386092110837927125e-19 4.234393936289500282e-14 2.970467296616041697e-14
4.441935058593750000e+03 3.637998753638977272e-19 3.849867405664002262e-14 2.700566007797500223e-14
4.592494628906250000e+03 3.005699825451911534e-19 3.500194586752124193e-14 2.455143971154608029e-14
4.748158203125000000e+03 2.473637351424314577e-19 3.182227566308690192e-14 2.231988567222547432e-14
4.909097656250000000e+03 2.027932791841195131e-19 2.893094225016150378e-14 2.029081485894600884e-14
5.075491699218750000e+03 1.656270461357404307e-19 2.630185193177193154e-14 1.844590425499267883e-14
5.247526367187500000e+03 1.347765826334480662e-19 2.391126406847254166e-14 1.676845884097510203e-14
5.425391601562500000e+03 1.092855127927662661e-19 2.173758440230603300e-14 1.524332519746689901e-14
5.609285644531250000e+03 8.831772503546584404e-20 1.976116346296200033e-14 1.385668228786772135e-14
5.799413085937500000e+03 7.114690308493695731e-20 1.796413732558285042e-14 1.259598640126168012e-14
5.995985351562500000e+03 5.714581785466566591e-20 1.633025481604256229e-14 1.144981868648684009e-14
6.199219726562500000e+03 4.577643359262597435e-20 1.484472335095028683e-14 1.040778943741218002e-14
6.409343261718750000e+03 3.658021112730220796e-20 1.349410729369667633e-14 9.460451695576972686e-15
6.626588378906250000e+03 2.916906704208774980e-20 1.226616532412801164e-14 8.599217393929006747e-15
6.851197265625000000e+03 2.321673189970584889e-20 1.114978352294336908e-14 7.816273500562808535e-15
7.083419433593750000e+03 1.845077731970386015e-20 1.013483730532421800e-14 7.104511714985019960e-15
7.323512695312500000e+03 1.464520204909581102e-20 9.212130434562218473e-15 6.457473834489300610e-15
7.571744140625000000e+03 1.161374504721521997e-20 8.373292531072603490e-15 5.869278062289916623e-15
7.828389160156250000e+03 9.203840766453637091e-21 7.610715544923134929e-15 5.334586820269745025e-15
8.093733398437500000e+03 7.291230361375545326e-21 6.917479640451218784e-15 4.848537715795072506e-15
8.368071289062500000e+03 5.775257906778032010e-21 6.287283739562230314e-15 4.406709660397705244e-15
8.651708007812500000e+03 4.574798310319812510e-21 5.714410793378676620e-15 4.005087717907657857e-15
8.944958984375000000e+03 3.624751084543899738e-21 5.193654513890259145e-15 3.640019482256369801e-15
9.248149414062500000e+03 2.873085639958106267e-21 4.720281257471247230e-15 3.308179925609394320e-15
9.561616210937500000e+03 2.278367821133054704e-21 4.289984708617800013e-15 3.006549375509769834e-15
9.885708007812500000e+03 1.807701042848423274e-21 3.898853269179497136e-15 2.732382174658971527e-15
1.022078515625000000e+04 1.435031236266904839e-21 3.543328977261396909e-15 2.483180422895546469e-15
1.056721972656250000e+04 1.139769762850955168e-21 3.220172990631435701e-15 2.256675977744984456e-15
1.092539746093750000e+04 9.056697735111706093e-22 2.926445893204404278e-15 2.050802925848932250e-15
1.129571484375000000e+04 7.199230953984421124e-22 2.659469790317558167e-15 1.863684453954511135e-15
1.167858398437500000e+04 5.724377615325176135e-22 2.416813909170514342e-15 1.693615484738898204e-15
1.207443164062500000e+04 4.552583684306201212e-22 2.196265376188570942e-15 1.539043936205368359e-15
