# Power spectra at z = 1000 [Mpc^3] from CAMB transfer functions.
# k[1/Mpc]  P_b  P_cdm  P_m
3.602702170610427856e-03 4.475819319486618042e-02 4.695708304643630981e-02 4.659515246748924255e-02
3.977921791374683380e-03 4.855137690901756287e-02 5.147924274206161499e-02 5.099625512957572937e-02
4.392221104353666306e-03 5.249992758035659790e-02 5.639209970831871033e-02 5.574833601713180542e-02
4.849668592214584351e-03 5.655037984251976013e-02 6.171424686908721924e-02 6.085733324289321899e-02
5.354759283363819122e-03 6.062521040439605713e-02 6.745968759059906006e-02 6.632102280855178833e-02
5.912455264478921890e-03 6.461649388074874878e-02 7.363555580377578735e-02 7.212559133768081665e-02
6.528235040605068207e-03 6.837967783212661743e-02 8.023905754089355469e-02 7.824176549911499023e-02
7.208147086203098297e-03 7.172726839780807495e-02 8.725363761186599731e-02 8.461974561214447021e-02
7.958873175084590912e-03 7.442484050989151001e-02 9.464468806982040405e-02 9.118408709764480591e-02
8.787785656750202179e-03 7.619063556194305420e-02 1.023536548018455505e-01 9.782717376947402954e-02
9.703029878437519073e-03 7.670299708843231201e-02 1.102922782301902771e-01 1.044035851955413818e-01
1.071359589695930481e-02 7.561966031789779663e-02 1.183358803391456604e-01 1.107251048088073730e-01
1.182941254228353500e-02 7.261476665735244751e-02 1.263171434402465820e-01 1.165581867098808289e-01
1.306143961846828461e-02 6.743854284286499023e-02 1.340216249227523804e-01 1.216268017888069153e-01
1.442178245633840561e-02 6.000158563256263733e-02 1.411858946084976196e-01 1.256223320960998535e-01
1.592380553483963013e-02 5.047745257616043091e-02 1.475013047456741333e-01 1.282247304916381836e-01
1.758226193487644196e-02 3.940231725573539734e-02 1.526251584291458130e-01 1.291365325450897217e-01
1.941344700753688812e-02 2.772761508822441101e-02 1.562018841505050659e-01 1.281303167343139648e-01
2.143534831702709198e-02 1.675988361239433289e-02 1.578950285911560059e-01 1.251052767038345337e-01
2.366783097386360168e-02 7.918430492281913757e-03 1.574281454086303711e-01 1.201415136456489563e-01
2.613282389938831329e-02 2.291023265570402145e-03 1.546311080455780029e-01 1.135350316762924194e-01
2.885454706847667694e-02 1.004191872198134661e-04 1.494816690683364868e-01 1.057911217212677002e-01
3.174000233411788940e-02 3.556456067599356174e-04 1.424501240253448486e-01 9.787263721227645874e-02
3.462545573711395264e-02 1.233486342243850231e-03 1.345027238130569458e-01 9.075557440519332886e-02
3.751091286540031433e-02 1.554730930365622044e-03 1.261910349130630493e-01 8.463338762521743774e-02
4.039636626839637756e-02 1.147983479313552380e-03 1.179169714450836182e-01 7.947268337011337280e-02
4.328181967139244080e-02 4.636094672605395317e-04 1.099539771676063538e-01 7.510165870189666748e-02
4.616727307438850403e-02 3.413043668842874467e-05 1.024721339344978333e-01 7.128585875034332275e-02
4.905273020267486572e-02 9.704946569399908185e-05 9.556002914905548096e-02 6.778570264577865601e-02
5.193818733096122742e-02 5.195508128963410854e-04 8.924488723278045654e-02 6.439919769763946533e-02
5.482363700866699219e-02 9.686986450105905533e-04 8.351035416126251221e-02 6.098939105868339539e-02
5.770909413695335388e-02 1.157427323050796986e-03 7.831250131130218506e-02 5.749622732400894165e-02
6.059455126523971558e-02 1.003548037260770798e-03 7.359317690134048462e-02 5.393281206488609314e-02
6.419607996940612793e-02 5.306300008669495583e-04 6.827999651432037354e-02 4.949529841542243958e-02
6.779761612415313721e-02 1.216806704178452492e-04 6.350415945053100586e-02 4.525458067655563354e-02
7.139915227890014648e-02 6.946393114048987627e-07 5.917379260063171387e-02 4.140369966626167297e-02
7.500068843364715576e-02 9.273898467654362321e-05 5.522006005048751831e-02 3.807397559285163879e-02
7.860221713781356812e-02 1.863849465735256672e-04 5.159457027912139893e-02 3.530769050121307373e-02
8.220375329256057739e-02 1.603285636520013213e-04 4.826422780752182007e-02 3.306078910827636719e-02
8.580528199672698975e-02 5.979902198305353522e-05 4.520573467016220093e-02 3.122558258473873138e-02
8.940681070089340210e-02 6.162058525660540909e-07 4.240058362483978271e-02 2.966308593750000000e-02
9.300835430622100830e-02 3.634668973973020911e-05 3.983154520392417908e-02 2.823643758893013000e-02
9.660988301038742065e-02 1.189758986583910882e-04 3.748055547475814819e-02 2.683929167687892914e-02
1.002114191651344299e-01 1.642362331040203571e-04 3.532806783914566040e-02 2.541344054043292999e-02
1.038129478693008423e-01 1.354787527816370130e-04 3.335362672805786133e-02 2.395210042595863342e-02
1.074144914746284485e-01 6.542870687553659081e-05 3.153697773814201355e-02 2.248940616846084595e-02
1.110160201787948608e-01 1.152413278759922832e-05 2.985935658216476440e-02 2.108073048293590546e-02
1.146175488829612732e-01 1.170608356915181503e-06 2.830443345010280609e-02 1.978133246302604675e-02
